day,hour,SENS0008,SENS0010,SENS0012,SENS0017,SENS0018,SENS0019,SENS0020,SENS0021,SENS0022,SENS0023,SENS0027,SENS0028,SENS0030
2022-11-17,22,9.406538484,36.98213967,18.25746292,13.88432462,12.11217917,14.33920518,7.595188328,11.80775771,15.16341724,17.10046709,15.81355705,20.21204279,12.42145035
2022-11-17,23,9.388185211,36.9974997,17.95175314,13.88712366,12.07796196,14.33357802,7.663745573,11.80775824,15.13166494,17.08503889,15.7981753,20.21729338,12.400221
2022-11-18,0,9.309941857,37.00517972,17.74129774,13.88432866,12.07006967,14.33349786,7.778620079,11.78683328,15.1693044,17.06083845,15.764376,20.28576859,12.37370432
2022-11-18,1,9.234095958,37.06665943,17.92055666,13.89272716,12.04640163,14.31733015,7.808632551,11.79991066,15.19511346,17.08173568,15.7582429,20.38092301,12.33926786
2022-11-18,2,9.220931772,37.12312034,17.72413825,13.88152963,12.0464006,14.29454313,7.822254025,11.8016534,15.25574025,17.08173568,15.71227498,20.3888879,12.318084
2022-11-18,3,9.105643482,37.11286493,17.69676729,13.88712771,12.04377213,14.379219,7.770447208,11.8208393,15.30359965,17.09495844,15.67559145,20.44466988,12.26519087
2022-11-18,4,9.074287025,37.1334132,17.79632474,13.86475962,12.0279995,14.40785527,7.792244802,11.82084036,15.41475346,17.09825917,15.65421632,20.51401563,12.22820655
2022-11-18,5,8.898019682,37.18482463,17.77908159,13.88153367,12.02011659,14.41361499,7.723995121,11.83392514,15.46701158,17.11479506,15.61764874,20.62115911,12.18333827
2022-11-18,6,8.891926671,37.20542141,17.80663853,13.88992,12.00785529,14.4307643,7.650055382,11.87320553,15.43090572,17.1114844,15.59025831,20.72618608,12.12534848
2022-11-18,7,8.795160645,37.26725812,17.80655716,13.88153097,12.00698022,14.42216181,7.624490415,11.9151304,15.3245846,17.10818617,15.56291135,20.71809192,12.10164842
2022-11-18,8,8.771363564,37.22858699,17.72757603,13.87873463,11.99647333,14.39924046,7.573155899,11.94135673,15.24682588,17.11480253,15.55382906,20.66954921,12.08322412
2022-11-18,9,8.765175448,37.18996886,17.66941505,13.86195926,11.99910036,14.39065347,7.545690396,11.93610926,15.15148209,17.11148938,15.52651355,20.61711387,12.08848692
2022-11-18,10,8.736958819,37.16681652,17.64897803,13.86195926,11.98859588,14.37062895,7.493326013,11.92824125,15.1188186,17.11481249,15.5386481,20.59294051,12.08848756
2022-11-18,11,8.71844329,37.06667263,17.57071433,13.82845274,11.97984496,14.37064428,7.503436171,11.93348813,15.03888505,17.08834458,15.50531424,20.52469099,12.093751
2022-11-18,12,8.654871441,37.03589978,17.52319484,13.82008376,11.95709624,14.34397043,7.476760406,11.92037382,15.01234324,17.06522954,15.49926645,20.4766264,12.08322412
2022-11-18,13,8.646873628,36.94378572,17.48259427,13.79499402,11.93873213,14.35064116,7.413188777,11.91250869,15.0064136,17.07514164,15.47809047,20.44469527,12.08848756
2022-11-18,14,8.61492913,36.90547785,17.42524473,13.80614604,11.93086527,14.29643052,7.407625545,11.9072664,14.96222598,17.07843495,15.46600845,20.41682734,12.08322412
2022-11-18,15,8.652203599,36.85189553,17.40843031,13.77828244,11.9151304,14.30497941,7.391001324,11.89416126,14.9357527,17.07844238,15.44789407,20.3451603,12.08585552
2022-11-18,16,8.622971461,36.79079752,17.38487524,13.76158003,11.90988755,14.28503851,7.355926857,11.88892085,14.97408863,17.04216634,15.43884459,20.31741399,12.08059336
2022-11-18,17,8.5964249,36.73483257,17.36472528,13.75601647,11.88892085,14.26795428,7.327223199,11.8784406,14.90051826,17.04324772,15.42376659,20.2738513,12.08585552
2022-11-18,18,8.559258041,36.68406622,17.2977347,13.7365531,11.87320112,14.23951693,7.327207692,11.85748658,14.88879763,17.0289807,15.40871349,20.23830798,12.08585552
2022-11-18,19,8.575220629,36.63336099,17.284356,13.73099215,11.85748713,14.19694535,7.330021732,11.84439696,14.88293474,17.03885661,15.39066235,20.23829548,12.07796132
2022-11-18,20,8.59381804,36.60296489,17.26099286,13.7365557,11.83916185,14.20261538,7.321676366,11.84439587,14.85363914,17.04764868,15.41171341,20.17922577,12.06217865
2022-11-18,21,8.625427298,36.57766895,17.18778476,13.72821683,11.82345818,14.19978303,7.352227222,11.82607439,14.84487393,17.02239896,15.39365655,20.13597668,12.06217802
2022-11-18,22,8.591091189,36.56248617,17.15126976,13.73655181,11.8129896,14.17995868,7.402089967,11.81822415,14.82146521,17.03446222,15.37861108,20.13991794,12.0428946
2022-11-18,23,8.508662261,36.55491111,17.1115068,13.75045421,11.79206308,14.173316,7.481332329,11.82607331,14.85070941,17.03226912,15.3906547,20.13859855,12.05165876
2022-11-19,0,8.52193415,36.57008736,17.03890013,13.77828244,11.78160348,14.17709359,7.622626754,11.8234571,14.93577883,17.00922809,15.36058464,20.23437008,12.01486375
2022-11-19,1,8.428737351,36.64604711,17.00925997,13.80335243,11.77898883,14.15444603,7.748569848,11.8313084,15.05072858,16.99937264,15.36959407,20.31210757,11.98859528
2022-11-19,2,8.337825944,36.72975201,16.93377031,13.79220569,11.77637367,14.27650314,7.79589485,11.84003375,15.16340941,17.06194117,15.32756956,20.35311828,11.97284338
2022-11-19,3,8.345620375,36.76788248,16.89776102,13.77550199,11.76068889,14.37064738,7.824967333,11.84178023,15.33058085,17.08834458,15.29463898,20.42346478,11.95184995
2022-11-19,4,8.257440691,36.82132026,16.82600098,13.77549543,11.7606894,14.41934076,7.704851202,11.86272549,15.40873447,17.10156237,15.30360528,20.56082381,11.91513383
2022-11-19,5,8.235941878,36.8595492,16.87817634,13.77549543,11.7606894,14.52287383,7.611629978,11.88892571,15.41173633,17.10486806,15.25574025,20.6978547,11.89154181
2022-11-19,6,8.171440839,36.87484341,16.85097297,13.77549543,11.76330302,14.43366612,7.591531899,11.93348813,15.39667556,17.10817872,15.21992696,20.75457052,11.86272494
2022-11-19,7,8.13647189,36.87484341,16.79672476,13.79499665,11.7711449,14.46231774,7.512604334,11.97284576,15.31561652,17.10487054,15.2438222,20.75051223,11.84963204
2022-11-19,8,8.067245686,36.86718973,16.75130696,13.7977784,11.7711449,14.41379922,7.462961223,11.9754686,15.20304667,17.10157231,15.19905928,20.71403245,11.84701369
2022-11-19,9,8.031209746,36.79077126,16.63180637,13.78941999,11.76330404,14.52013416,7.407654073,11.99384812,15.16044414,17.1479666,15.19909239,20.68571168,11.85486822
2022-11-19,10,7.966212896,36.73484131,16.5964031,13.78942262,11.75023743,14.39351528,7.391039078,11.98072202,15.08818849,17.09825668,15.19906846,20.63723839,11.85050429
2022-11-19,11,8.039190948,36.69928172,16.52796062,13.78663823,11.76330251,14.41364786,7.335277321,11.99647575,15.00935895,17.08835448,15.17525794,20.58891981,11.86010548
2022-11-19,12,8.009552389,36.66124952,16.49385439,13.77828244,11.73455774,14.3563439,7.302206045,12.00172617,14.96811496,17.09828152,15.18715404,20.56212908,11.86534496
2022-11-19,13,7.966255908,36.57766242,16.43335493,13.77271235,11.72672139,14.33642272,7.305003522,11.98597007,14.91519277,17.05865278,15.14258897,20.50863154,11.86534385
2022-11-19,14,7.941799698,36.53974138,16.57713716,13.76436311,11.71105164,14.32210295,7.285542045,11.97984496,14.91520491,17.05863549,15.17229484,20.46865808,11.87058222
2022-11-19,15,7.906356839,36.48168542,16.6028926,13.77271105,11.71105115,14.29933557,7.252121433,11.98334425,14.86828148,17.06193869,15.16037684,20.45665531,11.86534385
2022-11-19,16,7.969826933,36.43126321,16.71919431,13.76714489,11.69712541,14.32778902,7.274408694,11.97809441,14.84486194,17.06963712,15.17823379,20.41277225,11.87058222
2022-11-19,17,7.871228253,36.39602368,16.51330691,13.7671475,11.68320384,14.25377584,7.237243458,11.9754692,14.82537375,17.05534217,15.18125172,20.38490546,11.87582058
2022-11-19,18,7.892842111,36.37337667,16.40146279,13.77271105,11.67189325,14.25278988,7.259555785,11.96759473,14.78936602,17.06523943,15.1960926,20.35707661,11.8653444
